Date : 2024-06-27 13:43:05
Directory : f:\Onix\Pictures\1Progs\source\3ndetz.github.io
Total : 61 files,  91449 codes, 3308 comments, 6066 blanks, all 100823 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\css\glightbox.css                   | CSS        |        819 |          8 |        113 |        940 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\css\glightbox.min.css               | CSS        |          1 |          0 |          0 |          1 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\js\glightbox.js                     | JavaScript |      3,074 |          0 |         18 |      3,092 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\glightbox\js\glightbox.min.js                 | JavaScript |          1 |          0 |          0 |          1 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\isotope-layout\isotope.pkgd.js                | JavaScript |      2,198 |        830 |        536 |      3,564 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\isotope-layout\isotope.pkgd.min.js            | JavaScript |          2 |          9 |          1 |         12 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\php-email-form\validate.js                    | JavaScript |         70 |          5 |         11 |         86 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\purecounter\purecounter_vanilla.js            | JavaScript |          1 |          8 |          0 |          9 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.css                       | CSS        |      2,882 |         10 |          5 |      2,897 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.glyph.json                | JSON       |          1 |          0 |          0 |          1 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.less                      | Less       |      2,884 |         10 |          5 |      2,899 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.svg                       | XML        |      8,562 |         10 |          1 |      8,573 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\remixicon\remixicon.symbol.svg                | XML        |          1 |         10 |          0 |         11 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\swiper\swiper-bundle.min.css                  | CSS        |          1 |         11 |          1 |         13 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\swiper\swiper-bundle.min.js                   | JavaScript |          1 |         12 |          1 |         14 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\assets\vendor\waypoints\noframework.waypoints.js            | JavaScript |        583 |         71 |        104 |        758 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\css\styles.css                                              | CSS        |        225 |          1 |         21 |        247 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\forms\contact.php                                           | PHP        |         18 |         16 |          8 |         42 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\index.html                                                  | HTML       |        944 |         53 |        162 |      1,159 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\js\scripts.js                                               | JavaScript |          6 |          0 |          1 |          7 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\portfolio-details.html                                      | HTML       |         70 |         14 |         28 |        112 |
| f:\Onix\Pictures\1Progs\source\3ndetz.github.io\test.html                                                   | HTML       |        290 |          3 |         16 |        309 |
| Total                                                                                                       |            |     91,449 |      3,308 |      6,066 |    100,823 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
